codigo_predial,manzent,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,id_edge,num_edges,edge,geom_wkt
151600011100005,13132011001012,305730,V1313210011,AVENIDA DEL BICENTENARIO,AVENIDA,2,4,"[-70.60074760693333, -33.4058546638371]","POLYGON((-70.60074760693333 -33.4058546638371, -70.60069939313219 -33.40548895889658, -70.60101997953495 -33.40545922722088, -70.60106819465307 -33.40582493199889, -70.60074760693333 -33.4058546638371))"
151600011100005,13132011001012,305920,V1313210025,BICENTENARIO,AVENIDA,2,4,"[-70.60074760693333, -33.4058546638371]","POLYGON((-70.60074760693333 -33.4058546638371, -70.60069939313219 -33.40548895889658, -70.60101997953495 -33.40545922722088, -70.60106819465307 -33.40582493199889, -70.60074760693333 -33.4058546638371))"
151600011100005,13132011001012,305958,V1313210033,DAG HAMMARSKJOLD,AVENIDA,2,4,"[-70.60074760693333, -33.4058546638371]","POLYGON((-70.60074760693333 -33.4058546638371, -70.60069939313219 -33.40548895889658, -70.60101997953495 -33.40545922722088, -70.60106819465307 -33.40582493199889, -70.60074760693333 -33.4058546638371))"
151600011100005,13132011001012,305963,V1313210033,DAG HAMMARSKJOLD,AVENIDA,2,4,"[-70.60074760693333, -33.4058546638371]","POLYGON((-70.60074760693333 -33.4058546638371, -70.60069939313219 -33.40548895889658, -70.60101997953495 -33.40545922722088, -70.60106819465307 -33.40582493199889, -70.60074760693333 -33.4058546638371))"
151600011100139,13132011001012,305957,V1313210033,DAG HAMMARSKJOLD,AVENIDA,1,5,"[-70.60069939313219, -33.40548895889658]","POLYGON((-70.60069939313219 -33.40548895889658, -70.60061625730957 -33.40459107819114, -70.60093782614139 -33.40457013294548, -70.60102096523553 -33.405468013340275, -70.60069939313219 -33.40548895889658))"
151600011100139,13132011001012,305961,V1313210033,DAG HAMMARSKJOLD,AVENIDA,1,5,"[-70.60069939313219, -33.40548895889658]","POLYGON((-70.60069939313219 -33.40548895889658, -70.60061625730957 -33.40459107819114, -70.60093782614139 -33.40457013294548, -70.60102096523553 -33.405468013340275, -70.60069939313219 -33.40548895889658))"
151600011100139,13132011001012,305729,V1313210010,AVENIDA DAG HAMMARSKJOLD,AVENIDA,1,5,"[-70.60069939313219, -33.40548895889658]","POLYGON((-70.60069939313219 -33.40548895889658, -70.60061625730957 -33.40459107819114, -70.60093782614139 -33.40457013294548, -70.60102096523553 -33.405468013340275, -70.60069939313219 -33.40548895889658))"
151600011100139,13132011001012,305920,V1313210025,BICENTENARIO,AVENIDA,1,5,"[-70.60069939313219, -33.40548895889658]","POLYGON((-70.60069939313219 -33.40548895889658, -70.60061625730957 -33.40459107819114, -70.60093782614139 -33.40457013294548, -70.60102096523553 -33.405468013340275, -70.60069939313219 -33.40548895889658))"
151600011100139,13132011001012,305956,V1313210033,DAG HAMMARSKJOLD,AVENIDA,1,5,"[-70.60069939313219, -33.40548895889658]","POLYGON((-70.60069939313219 -33.40548895889658, -70.60061625730957 -33.40459107819114, -70.60093782614139 -33.40457013294548, -70.60102096523553 -33.405468013340275, -70.60069939313219 -33.40548895889658))"
151600011100139,13132011001012,305960,V1313210033,DAG HAMMARSKJOLD,AVENIDA,1,5,"[-70.60069939313219, -33.40548895889658]","POLYGON((-70.60069939313219 -33.40548895889658, -70.60061625730957 -33.40459107819114, -70.60093782614139 -33.40457013294548, -70.60102096523553 -33.405468013340275, -70.60069939313219 -33.40548895889658))"
151600011100139,13132011001012,305958,V1313210033,DAG HAMMARSKJOLD,AVENIDA,1,5,"[-70.60069939313219, -33.40548895889658]","POLYGON((-70.60069939313219 -33.40548895889658, -70.60061625730957 -33.40459107819114, -70.60093782614139 -33.40457013294548, -70.60102096523553 -33.405468013340275, -70.60069939313219 -33.40548895889658))"
151600011100154,13132011001012,305730,V1313210011,AVENIDA DEL BICENTENARIO,AVENIDA,1,6,"[-70.6007914036583, -33.406196436812195]","POLYGON((-70.6007914036583 -33.406196436812195, -70.60074676015577 -33.405855396235594, -70.60106737526135 -33.40582587283241, -70.60111201999244 -33.406166913258254, -70.6007914036583 -33.406196436812195))"
151600011100154,13132011001012,308461,V1313210503,SIN NOMBRE,CALLE,1,6,"[-70.6007914036583, -33.406196436812195]","POLYGON((-70.6007914036583 -33.406196436812195, -70.60074676015577 -33.405855396235594, -70.60106737526135 -33.40582587283241, -70.60111201999244 -33.406166913258254, -70.6007914036583 -33.406196436812195))"
