codigo_predial,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,geom_wkt,edge
151600010500001,305918,V1313210025,BICENTENARIO,AVENIDA,"POLYGON((-70.60159344682262 -33.4038745250743, -70.60164172658487 -33.40365508940902, -70.60195890497576 -33.40370418074404, -70.60191062599459 -33.403923616508166, -70.60159344682262 -33.4038745250743))","[-70.60159344682262, -33.4038745250743]"
151600010500001,305918,V1313210025,BICENTENARIO,AVENIDA,"POLYGON((-70.6013922811465 -33.40428727160966, -70.60159344682262 -33.4038745250743, -70.60189200020325 -33.403976886007456, -70.60169083574465 -33.40438963298547, -70.6013922811465 -33.40428727160966))","[-70.6013922811465, -33.40428727160966]"
151600010500001,305918,V1313210025,BICENTENARIO,AVENIDA,"POLYGON((-70.60103644141718 -33.40492840564852, -70.6013922811465 -33.40428727160966, -70.60168468829849 -33.404401435853146, -70.60132885032355 -33.40504257066952, -70.60103644141718 -33.40492840564852))","[-70.60103644141718, -33.40492840564852]"
151600010500001,305920,V1313210025,BICENTENARIO,AVENIDA,"POLYGON((-70.60101319560573 -33.40493139112775, -70.60103644141718 -33.40492840564852, -70.60108526188189 -33.405195808532476, -70.60106201600163 -33.4051987940228, -70.60101319560573 -33.40493139112775))","[-70.60101319560573, -33.40493139112775]"
151600010500001,305956,V1313210033,DAG HAMMARSKJOLD,AVENIDA,"POLYGON((-70.60090501317546 -33.404871681523886, -70.60101319560573 -33.40493139112775, -70.60083589065475 -33.40515737011637, -70.6007277080525 -33.40509766036466, -70.60090501317546 -33.404871681523886))","[-70.60090501317546, -33.404871681523886]"
151600010500001,305960,V1313210033,DAG HAMMARSKJOLD,AVENIDA,"POLYGON((-70.60085762748285 -33.40481197187899, -70.60090501317546 -33.404871681523886, -70.60063651413779 -33.405021574135084, -70.60058912853884 -33.404961864385946, -70.60085762748285 -33.40481197187899))","[-70.60085762748285, -33.40481197187899]"
151600010500001,305729,V1313210010,AVENIDA DAG HAMMARSKJOLD,AVENIDA,"POLYGON((-70.6006484151797 -33.40332817402268, -70.60085762748285 -33.40481197187899, -70.60053732149451 -33.40484374185601, -70.6003281145172 -33.40335994330669, -70.6006484151797 -33.40332817402268))","[-70.6006484151797, -33.40332817402268]"
151600010500001,305917,V1313210025,BICENTENARIO,AVENIDA,"POLYGON((-70.60163725623653 -33.40355283518522, -70.6015755654292 -33.40316098394327, -70.60189532141 -33.403125570018425, -70.601957013615 -33.40351742106138, -70.60163725623653 -33.40355283518522))","[-70.60163725623653, -33.40355283518522]"
151600010500001,305917,V1313210025,BICENTENARIO,AVENIDA,"POLYGON((-70.60164172658487 -33.40365508940902, -70.60163725623653 -33.40355283518522, -70.60195957273302 -33.403542922084846, -70.60196404345766 -33.403645176285934, -70.60164172658487 -33.40365508940902))","[-70.60164172658487, -33.40365508940902]"
151600010500006,305729,V1313210010,AVENIDA DAG HAMMARSKJOLD,AVENIDA,"POLYGON((-70.60044546136425 -33.40337594255768, -70.60154516706034 -33.40316396948323, -70.60161740842328 -33.40342761624767, -70.60051769963363 -33.40363959004783, -70.60044546136425 -33.40337594255768))","[-70.60044546136425, -33.40337594255768]"
