propietario|prop_tgr_id|rut
1 IGLESIA EVANG BAUTISTA DE STGO|E000000001|0-0
1A IGKLESIA EVANG BAUTISTA DE STGO|E000000001|0-0
1A IGLESIA EVANGEICA BAUTISTA DE STGO |E000000001|0-0
1 SUBTERRANEO|E000000002|0-0
110KM SPA|E000000003|76565948-5
1MP NAC DE TELECOMUNICACIONE S A|E000000004|0-0
1NMOBILIARIA EBRO SA|E000000005|96675150-9
INMOBILIARIA EBRO S A|E000000005|96675150-9
INMOBILIARIA EBRO S A |E000000005|96675150-9
INMOBILIARIA EBRO SA|E000000005|96675150-9
2 D ELECTRONICA S A|E000000005|99512770-9
1NVERSIONES ESMERALDA S A|E000000006|0-0
2080 INMOBILIARIA SPA|E000000008|76359727-K
23 5 GRADOS INVERSIONES LIMITADA|E000000009|76514121-4
2806201220141028 SPA|E000000010|77428028-6
2C SPA|E000000011|0-0
3102939190 SOCIEDAD DE RESPONSABILIDAD L|E000000012|0-0
360 MOBILE SPA|E000000013|76048672-8
3D INMOBILIARIA S A |E000000014|0-0
3D PRODUCCIONES DANNYA ESPINOZA|E000000015|76232353-2
3DEL ARQUITECTURA Y GESTION SPA|E000000016|76172646-3
3F CAPITAL SPA|E000000017|0-0
3IT INGENIERIA Y DESARROLLO SPA|E000000018|76359251-0
3IT SERVICIOS INFORM?TICOS LIMITADA|E000000019|77671296-5
3KBRAS SPA|E000000020|77691206-9
3L SERVICIOS FINANCIEROS SPA|E000000021|76005814-9
A D P INGENIERIA LIMITADA|E000000021|76809970-7
3M CHILE S A|E000000022|0-0
4 LIFE SEGUROS DE VIDA S A |E000000023|76418751-2
4 LIFE SEGUROS DE VIDA S.A.|E000000023|76418751-2
4 ROBLES INMOBILIARIA E INVERSIONES SPA|E000000024|76840015-6
4A SPA|E000000025|0-0
4DISENO INGENIERIA Y CONSTRUCCIO|E000000026|76493179-3
4DISENO INGENIERIA Y CONSTRUCCION LIMITA|E000000027|76493179-3
4PLUS SPA|E000000028|76557554-0
4V DESARROLLO INMOBILIARIO SPA|E000000029|0-0
5 BEAMS INVEST CHILE SPA|E000000030|77053893-9
5HCO INVERSIONES SPA|E000000031|77023478-6
6 LL SPA|E000000032|0-0
7 CUARZOS SPA|E000000033|0-0
70W DESARROLLOS INMOBILIARIOS SPA|E000000034|76326733-4
7K LODGE SPA|E000000035|76942719-8
8 DE FEBRERO S.A.|E000000036|76090117-2
A  CUSSEN DOS Y DOS Y COMPANIA|E000000037|78034060-6
A  VILLABLANCA PRODUCCIONES LIMI|E000000038|76740000-4
A VILLABLANCA PRODUCCIONES LIMIT|E000000038|76740000-4
A A K SPA|E000000039|77183905-3
A A P CASAPROPIA|E000000040|0-0
AARON SOCIEDAD COMERCIAL E INDUSTRIAL LI|E000000040|77690430-9
A AND A CONSULTORES LIMITADA|E000000041|76629622-K
A AND S TECNOLOGIAS COMPUTACIONA|E000000042|0-0
A AND V SOFTWARE LIMITADA|E000000043|0-0
A B O INGENIERIA ELECTRICA LIMIT|E000000044|78821180-5
A B O INGENIERIA ELECTRICA LIMITADA|E000000044|78821180-5
ABARCA RAMIREZ AND ASOCIADOS COM|E000000044|76072477-7
A C COMERCIAL EXPORTADORA LTDA|E000000045|0-0
A CONST E INM CERRO COLORADO|E000000046|0-0
A D ADMINISTRACION INMOBILIARIA SPA|E000000047|0-0
A DENHAM Y CIA LTDA|E000000049|0-0
ABITO GLOBAL   SERVICIOS PUBLICI|E000000049|76157325-K
A E INV NAVETTA MANAGEMENT CHILE|E000000050|0-0
A E INV NAVETTA MANGEMENT CHILE|E000000050|0-0
A F P SANTA MARIA|E000000051|96728160-3
A F P SANTA MARIA S A|E000000051|96728160-3
A FUENZALIDA Y CIA|E000000052|79696230-5
A G CONSTRUCCIONES S A|E000000053|0-0
A G I LONCO LTDA|E000000054|0-0
AGI LONCO LTDA|E000000054|0-0
A G MICROEMP TALLERES LAB SOL Y SERV|E000000055|0-0
A GREMIAL COM LOC MERCADO VEGA C|E000000056|0-0
A H GROUP SPA|E000000057|77465711-8
A HARTRODT CHILE S A|E000000058|84007300-9
A I G CHILE SPA|E000000059|76283521-5
A JARA Y CIA|E000000060|76014222-0
A LA VUELTA PRODUCCIONES SPA|E000000061|76424562-8
A LILLO Y COMPANIA LIMITADA|E000000062|77266070-7
A LYON Y CIA S A|E000000063|81142100-6
A M C CONSULTORES LTDA|E000000064|0-0
A M S GALERIA DE ARTE S A|E000000065|96760370-8
A M Y ASOCIADOS ASESORES CONSULT|E000000066|77646580-1
A M Z INGENIERIA LIMITADA|E000000067|77490670-3
A MOB E INMOB MONTERO VIDAL LTDA|E000000068|0-0
A MUSIC LTDA|E000000069|83863900-3
A P B F S A|E000000070|78466840-1
ACEROS INOX DINOXA LTDA|E000000070|77480160-K
A R H INGENIERIA Y CONSTRUCCION LIMITADA|E000000071|78732440-1
A S ASESORIAS Y SERVICIOS LIMITADA|E000000072|0-0
A S TECNOLOGIAS COMPUTACIONALES LIMITA|E000000073|77495960-2
A SCHMITT Y ASOCIADOS LIMITADA|E000000074|84519800-4
A SEREMPSA S A|E000000075|0-0
A SIX SA|E000000076|0-0
A SIX SOCIEDAD ANONIMA|E000000076|0-0
ACOP CAMARA NACIONAL DE SERV INMOBILIARI|E000000076|70630900-4
A T M  ASCENSORES LIMITADA|E000000077|76268861-1
A V INVERSIONES SANTA MARIA S A|E000000078|96811670-3
INVERSIONES SANTA MARIA S A |E000000078|96811670-3
A VILLACURA E HIJOS LTDA|E000000079|0-0
ACR P SPA|E000000079|77875845-8
A Y A INMOBILIARIA S A|E000000080|96698820-7
