propietario|rut|prop_tgr_id
1 IGLESIA EVANG BAUTISTA DE STGO|0-0|E000000001
1A IGKLESIA EVANG BAUTISTA DE STGO|0-0|E000000001
1A IGLESIA EVANGEICA BAUTISTA DE STGO |0-0|E000000001
1 SUBTERRANEO|0-0|E000000002
110KM SPA|76565948-5|E000000003
1MP NAC DE TELECOMUNICACIONE S A|0-0|E000000004
1NMOBILIARIA EBRO SA|96675150-9|E000000005
INMOBILIARIA EBRO S A|96675150-9|E000000005
INMOBILIARIA EBRO S A |96675150-9|E000000005
INMOBILIARIA EBRO SA|96675150-9|E000000005
1NVERSIONES ESMERALDA S A|0-0|E000000006
2 D ELECTRONICA S A|99512770-9|E000000007
2080 INMOBILIARIA SPA|76359727-K|E000000008
23 5 GRADOS INVERSIONES LIMITADA|76514121-4|E000000009
2806201220141028 SPA|77428028-6|E000000010
2C SPA|0-0|E000000011
3102939190 SOCIEDAD DE RESPONSABILIDAD L|0-0|E000000012
360 MOBILE SPA|76048672-8|E000000013
3D INMOBILIARIA S A |0-0|E000000014
3D PRODUCCIONES DANNYA ESPINOZA|0-0|E000000015
3DEL ARQUITECTURA Y GESTION SPA|76172646-3|E000000016
3F CAPITAL SPA|77413848-K|E000000017
3IT INGENIERIA Y DESARROLLO SPA|76359251-0|E000000018
3IT SERVICIOS INFORM?TICOS LIMITADA|0-0|E000000019
3KBRAS SPA|77691206-9|E000000020
3L SERVICIOS FINANCIEROS SPA|76005814-9|E000000021
3M CHILE S A|93626000-4|E000000022
4 LIFE SEGUROS DE VIDA S A |76418751-2|E000000023
4 LIFE SEGUROS DE VIDA S.A.|76418751-2|E000000023
4 ROBLES INMOBILIARIA E INVERSIONES SPA|76840015-6|E000000024
4A SPA|76834992-4|E000000025
4DISENO INGENIERIA Y CONSTRUCCIO|0-0|E000000026
4DISENO INGENIERIA Y CONSTRUCCION LIMITA|76493179-3|E000000027
4PLUS SPA|76557554-0|E000000028
4V DESARROLLO INMOBILIARIO SPA|77074314-1|E000000029
5 BEAMS INVEST CHILE SPA|77053893-9|E000000030
