propietario|rut|prop_tgr_id|match_score|confidence|margin|is_ambiguous|matched_name|second_best_rut|second_best_score
1 IGLESIA EVANG BAUTISTA DE STGO|0-0|E000000001|0.72|NONE|0.0524|false|||0.6675
1A IGKLESIA EVANG BAUTISTA DE STGO|0-0|E000000001|0.72|NONE|0.0524|false|||0.6675
1A IGLESIA EVANGEICA BAUTISTA DE STGO |0-0|E000000001|0.72|NONE|0.0524|false|||0.6675
1 SUBTERRANEO|0-0|E000000002|0.7257|NONE|0.1944|false|||0.5313
110KM SPA|76565948-5|E000000003|1.0|HIGH|0.4406|false|110KM SPA||0.5594
1MP NAC DE TELECOMUNICACIONE S A|0-0|E000000004|0.7139|NONE|0.1626|false|||0.5513
1NMOBILIARIA EBRO SA|96675150-9|E000000005|1.0|HIGH|0.158|false|INMOBILIARIA EBRO S A||0.842
INMOBILIARIA EBRO S A|96675150-9|E000000005|1.0|HIGH|0.158|false|INMOBILIARIA EBRO S A||0.842
INMOBILIARIA EBRO S A |96675150-9|E000000005|1.0|HIGH|0.158|false|INMOBILIARIA EBRO S A||0.842
INMOBILIARIA EBRO SA|96675150-9|E000000005|1.0|HIGH|0.158|false|INMOBILIARIA EBRO S A||0.842
2 D ELECTRONICA S A|99512770-9|E000000005|1.0|HIGH|0.4173|false|2 D ELECTRONICA S A||0.5827
1NVERSIONES ESMERALDA S A|0-0|E000000006|0.7388|NONE|0.0|false|||0.7388
2080 INMOBILIARIA SPA|76359727-K|E000000008|1.0|HIGH|0.3292|false|2080 INMOBILIARIA SPA||0.6708
23 5 GRADOS INVERSIONES LIMITADA|76514121-4|E000000009|1.0|HIGH|0.3787|false|23.5 GRADOS INVERSIONES LIMITADA||0.6213
2806201220141028 SPA|77428028-6|E000000010|1.0|HIGH|0.6215|false|2806201220141028 SPA||0.3785
2C SPA|0-0|E000000011|0.0|NONE|0.0|false|||0.0
3102939190 SOCIEDAD DE RESPONSABILIDAD L|0-0|E000000012|0.5458|NONE|0.0048|false|||0.541
360 MOBILE SPA|76048672-8|E000000013|1.0|HIGH|0.2586|false|360 MOBILE SPA||0.7414
3D INMOBILIARIA S A |0-0|E000000014|0.0|NONE|0.0|false|||0.0
3D PRODUCCIONES DANNYA ESPINOZA|76232353-2|E000000015|0.8796|MEDIUM|0.2269|false|3D PRODUCCIONES DANNYA ESPINOZA GAETE E.I.R.L.||0.6527
3DEL ARQUITECTURA Y GESTION SPA|76172646-3|E000000016|1.0|HIGH|0.2006|false|3DEL ARQUITECTURA Y GESTION SPA||0.7994
3F CAPITAL SPA|0-0|E000000017|0.0|NONE|0.0|false|||0.0
3IT INGENIERIA Y DESARROLLO SPA|76359251-0|E000000018|1.0|HIGH|0.1321|false|3IT INGENIERIA Y DESARROLLO SPA||0.8679
3IT SERVICIOS INFORM?TICOS LIMITADA|77671296-5|E000000019|0.8288|LOW|0.2029|false|3IT SERVICIOS INFORMÁTICOS LIMITADA||0.6259
3KBRAS SPA|77691206-9|E000000020|1.0|HIGH|0.5204|false|3KBRAS SPA||0.4796
