manzent,predios_estrategicos,num_predios_estrategicos,tipo_control,num_combis_consideradas,num_combis_disponibles,num_predios_considerados,num_predios_disponibles
13101011001006,"[131010001600093, 131010001600094]",2,sin_control,1,1,2,2
13101011002003,"[131010020100004, 131010020100005]",2,sin_control,1,1,2,2
13101011005003,"[131010015100111, 131010015100112]",2,sin_control,1,1,2,2
13101021001006,[131010027700002],1,con_control,1,1,1,1
13101021001009,"[131010025300017, 131010025300018]",2,sin_control,1,1,2,2
13101021001014,"[131010023300052, 131010023300053]",2,sin_control,1,1,2,2
13101021003001,"[131010021200005, 131010021200014]",2,sin_control,1,1,2,2
13101021003002,"[131010018800109, 131010018800110]",2,sin_control,1,1,2,2
13101031002004,"[131010023600027, 131010023600028, 131010023600029, 131010023600030]",4,sin_control,1,1,4,4
13101031004002,"[131010016400003, 131010016400004]",2,sin_control,1,1,2,2
13101031007002,"[131010005300012, 131010005300013, 131010005300027, 131010005300028]",4,sin_control,1,1,4,4
13101031007005,[131010004600040],1,con_control,1,1,1,1
13101031007006,"[131010004200049, 131010004200050]",2,sin_control,1,1,2,2
13101041001004,[131340029000025],1,sin_control,14,14,8,8
13101041002006,"[131340042000023, 131340042000024, 131340042000025]",3,sin_control,3,3,5,5
13101041003001,[131010019700026],1,sin_control,8,8,10,10
13101041003003,[131010014500044],1,sin_control,16,16,8,8
13101041004004,[131010016800017],1,con_control,1,1,1,1
13101041004005,[131010014200104],1,con_control,3,3,3,3
13101041005003,"[131010009100011, 131010009100012]",2,sin_control,1,1,2,2
13101041005007,[131010006700024],1,sin_control,5,5,6,6
13101041005011,[131010006200016],1,sin_control,6,6,7,7
13101041005012,"[131010006400008, 131010006400009, 131010006400010]",3,sin_control,3,3,5,5
13101051001002,"[131340044000003, 131340044000004, 131340044000021]",3,sin_control,2,2,4,4
13101051001004,[131340043500005],1,sin_control,7,7,4,4
13101051001006,"[131340046800022, 131340046800023, 131340046800024]",3,sin_control,6,6,8,8
13101051002006,"[131340041300018, 131340041300019, 131340041300020]",3,sin_control,1,1,3,3
