propietario|prop_tgr_id
1 IGLESIA EVANG BAUTISTA DE STGO|E000000001
1A IGKLESIA EVANG BAUTISTA DE STGO|E000000001
1A IGLESIA EVANGEICA BAUTISTA DE STGO |E000000001
1 SUBTERRANEO|E000000002
110KM SPA|E000000003
1MP NAC DE TELECOMUNICACIONE S A|E000000004
1NMOBILIARIA EBRO SA|E000000005
INMOBILIARIA EBRO S A|E000000005
INMOBILIARIA EBRO S A |E000000005
INMOBILIARIA EBRO SA|E000000005
2 D ELECTRONICA S A|E000000005
1NVERSIONES ESMERALDA S A|E000000006
2080 INMOBILIARIA SPA|E000000008
23 5 GRADOS INVERSIONES LIMITADA|E000000009
2806201220141028 SPA|E000000010
2C SPA|E000000011
3102939190 SOCIEDAD DE RESPONSABILIDAD L|E000000012
360 MOBILE SPA|E000000013
3D INMOBILIARIA S A |E000000014
3D PRODUCCIONES DANNYA ESPINOZA|E000000015
3DEL ARQUITECTURA Y GESTION SPA|E000000016
3F CAPITAL SPA|E000000017
3IT INGENIERIA Y DESARROLLO SPA|E000000018
3IT SERVICIOS INFORM?TICOS LIMITADA|E000000019
3KBRAS SPA|E000000020
3L SERVICIOS FINANCIEROS SPA|E000000021
A D P INGENIERIA LIMITADA|E000000021
3M CHILE S A|E000000022
4 LIFE SEGUROS DE VIDA S A |E000000023
4 LIFE SEGUROS DE VIDA S.A.|E000000023
4 ROBLES INMOBILIARIA E INVERSIONES SPA|E000000024
4A SPA|E000000025
4DISENO INGENIERIA Y CONSTRUCCIO|E000000026
4DISENO INGENIERIA Y CONSTRUCCION LIMITA|E000000027
4PLUS SPA|E000000028
A JARA Y CIA|E000000028
4V DESARROLLO INMOBILIARIO SPA|E000000029
5 BEAMS INVEST CHILE SPA|E000000030
5HCO INVERSIONES SPA|E000000031
6 LL SPA|E000000032
7 CUARZOS SPA|E000000033
70W DESARROLLOS INMOBILIARIOS SPA|E000000034
7K LODGE SPA|E000000035
8 DE FEBRERO S.A.|E000000036
A  CUSSEN DOS Y DOS Y COMPANIA|E000000037
A  VILLABLANCA PRODUCCIONES LIMI|E000000038
A VILLABLANCA PRODUCCIONES LIMIT|E000000038
A A K SPA|E000000039
A A P CASAPROPIA|E000000040
A AND A CONSULTORES LIMITADA|E000000041
AARON SOCIEDAD COMERCIAL E INDUSTRIAL LI|E000000041
A AND S TECNOLOGIAS COMPUTACIONA|E000000042
A AND V SOFTWARE LIMITADA|E000000043
A B O INGENIERIA ELECTRICA LIMIT|E000000044
A B O INGENIERIA ELECTRICA LIMITADA|E000000044
A C COMERCIAL EXPORTADORA LTDA|E000000045
