apellido,frec_pri,tipo
GARCIA, 1484607, apellido
GONZALEZ, 935931, apellido
RODRIGUEZ, 933764, apellido
FERNANDEZ, 928656, apellido
LOPEZ, 879868, apellido
MARTINEZ, 841250, apellido
SANCHEZ, 822946, apellido
PEREZ, 786515, apellido
ANTONIO, 765138, hombre
JOSE, 706051, hombre
MARIA CARMEN, 681108, mujer
MARIA, 668112, mujer
MANUEL, 658306, hombre
FRANCISCO, 572088, hombre
GOMEZ, 495718, apellido
MARTIN, 494251, apellido
CARMEN, 447130, mujer
JUAN, 395559, hombre
JIMENEZ, 391726, apellido
RUIZ, 369817, apellido
HERNANDEZ, 359909, apellido
DAVID, 351437, hombre
DIAZ, 341053, apellido
JOSEFA, 325874, mujer
JOSE ANTONIO, 323063, hombre
MORENO, 320049, apellido
JOSE LUIS, 312302, hombre
JAVIER, 297410, hombre
ISABEL, 296241, mujer
JESUS, 295470, hombre
FRANCISCO JAVIER, 290742, hombre
ALVAREZ, 286166, apellido
MUÑOZ, 283083, apellido
ANA MARIA, 281533, mujer
CARLOS, 280014, hombre
DANIEL, 273468, hombre
MARIA DOLORES, 273002, mujer
MARIA PILAR, 271733, mujer
MIGUEL, 263397, hombre
MARIA TERESA, 263124, mujer
ANA, 261346, mujer
RAFAEL, 254478, hombre
JOSE MANUEL, 250869, hombre
PEDRO, 250021, hombre
LAURA, 248233, mujer
FRANCISCA, 246861, mujer
ANTONIA, 239751, mujer
ALEJANDRO, 236537, hombre
DOLORES, 236302, mujer
ANGEL, 235230, hombre
MARIA ANGELES, 234432, mujer
CRISTINA, 231232, mujer
MIGUEL ANGEL, 229902, hombre
JOSE MARIA, 225968, hombre
ROMERO, 220176, apellido
FERNANDO, 217546, hombre
MARTA, 214500, mujer
LUIS, 214294, hombre
MARIA JOSE, 207548, mujer
MARIA ISABEL, 207464, mujer
ALONSO, 200495, apellido
GUTIERREZ, 195956, apellido
PABLO, 195256, hombre
SERGIO, 195251, hombre
JORGE, 186046, hombre
ALBERTO, 180391, hombre
NAVARRO, 178872, apellido
PILAR, 174329, mujer
MARIA LUISA, 174308, mujer
LUCIA, 171879, mujer
CONCEPCION, 170264, mujer
TORRES, 169077, apellido
JUAN CARLOS, 163917, hombre
JUAN JOSE, 160579, hombre
ELENA, 158990, mujer
DOMINGUEZ, 158906, apellido
MERCEDES, 158309, mujer
MANUELA, 157945, mujer
ROSA MARIA, 149558, mujer
VAZQUEZ, 149543, apellido
RAQUEL, 148548, mujer
SARA, 148532, mujer
RAMOS, 145328, apellido
MARIA JESUS, 145275, mujer
GIL, 141953, apellido
RAMON, 141677, hombre
PAULA, 141508, mujer
JUANA, 140755, mujer
ENRIQUE, 140667, hombre
TERESA, 140316, mujer
DIEGO, 140128, hombre
ROSARIO, 140117, mujer
JUAN ANTONIO, 139865, hombre
VICENTE, 139046, hombre
ALVARO, 135697, hombre
RAUL, 134842, hombre
RAMIREZ, 134590, apellido
SERRANO, 132678, apellido
ADRIAN, 131454, hombre
ENCARNACION, 127327, mujer
BEATRIZ, 125794, mujer
JOAQUIN, 125614, hombre
BLANCO, 124778, apellido
IVAN, 124529, hombre
ANDRES, 124297, hombre
ROSA, 122403, mujer
SUAREZ, 121419, apellido
MOLINA, 121261, apellido
OSCAR, 120586, hombre
MORALES, 120268, apellido
NURIA, 120127, mujer
RUBEN, 119938, hombre
SILVIA, 119620, mujer
ORTEGA, 118229, apellido
DELGADO, 117312, apellido
MONTSERRAT, 116853, mujer
JUAN MANUEL, 116759, hombre
CASTRO, 116398, apellido
SANTIAGO, 116274, hombre
JULIA, 113804, mujer
PATRICIA, 112909, mujer
EDUARDO, 111954, hombre
ORTIZ, 107489, apellido
RUBIO, 105555, apellido
IRENE, 105473, mujer
MARIN, 104868, apellido
MONICA, 104073, mujer
ANDREA, 102224, mujer
VICTOR, 101940, hombre
ROCIO, 101163, mujer
ANGELA, 100497, mujer
MARIA MAR, 100228, mujer
MARGARITA, 99877, mujer
ROBERTO, 98900, hombre
SONIA, 98578, mujer
JAIME, 98348, hombre
SANDRA, 97425, mujer
SUSANA, 97249, mujer
ALICIA, 96435, mujer
FRANCISCO JOSE, 95934, hombre
SANZ, 94887, apellido
YOLANDA, 94014, mujer
ALBA, 93995, mujer
MARIA JOSEFA, 93760, mujer
IGNACIO, 92463, hombre
ALFONSO, 92167, hombre
MARINA, 92140, mujer
NUÑEZ, 90572, apellido
IGLESIAS, 90546, apellido
SALVADOR, 90396, hombre
RICARDO, 88324, hombre
NATALIA, 87259, mujer
MEDINA, 87215, apellido
GARRIDO, 86008, apellido
MARIO, 84764, hombre
SANTOS, 84476, apellido
CASTILLO, 83553, apellido
JORDI, 83353, hombre
MARIA ROSARIO, 83246, mujer
CORTES, 83102, apellido
EMILIO, 82910, hombre
INMACULADA, 81999, mujer
ANGELES, 80478, mujer
LOZANO, 80064, apellido
ESTHER, 78890, mujer
